ESTIMATIVAS DA POPULAÇÃO RESIDENTE NOS MUNICÍPIOS BRASILEIROS COM DATA DE REFERÊNCIA EM 1º DE JULHO DE 2024;;;;;
UF;COD. UF;COD. MUNIC;NOME DO MUNICÍPIO;POPULAÇÃO ESTIMADA;
AC;12;00252;Epitaciolândia;19.739;
AC;12;00302;Feijó;37.644;
AC;12;00328;Jordão;9.787;
AC;12;00336;Mâncio Lima;20.329;
AC;12;00344;Manoel Urbano;12.776;
AC;12;00351;Marechal Thaumaturgo;17.951;
AC;12;00385;Plácido de Castro;17.127;
AC;12;00393;Porto Walter;11.275;
AC;12;00401;Rio Branco;387.852;
AC;12;00427;Rodrigues Alves;15.537;
AC;12;00435;Santa Rosa do Purus;7.143;
AC;12;00450;Senador Guiomard;22.352;
AC;12;00500;Sena Madureira;43.916;
AC;12;00609;Tarauacá;46.517;
AC;12;00708;Xapuri;19.090;
AC;12;00807;Porto Acre;17.455;
AM;13;00029;Alvarães;16.670;(2)
AM;13;00060;Amaturá;11.411;
AM;13;00086;Anamã;10.318;
AM;13;00102;Anori;17.932;
AM;13;00144;Apuí;21.735;
AM;13;00201;Atalaia do Norte;15.892;
AM;13;00300;Autazes;45.328;
AM;13;00409;Barcelos;18.626;(3)
AM;13;00508;Barreirinha;33.436;
AM;13;00607;Benjamin Constant;40.509;(4)
AM;13;00631;Beruri;22.136;
AM;13;00680;Boa Vista do Ramos;25.769;
AM;13;00706;Boca do Acre;38.246;(5)
AM;13;00805;Borba;34.879;
AM;13;00839;Caapiranga;14.310;(6)(7)
AM;13;00904;Canutama;17.885;(8)
AM;13;01001;Carauari;30.892;
AM;13;01100;Careiro;32.442;
AM;13;01159;Careiro da Várzea;19.809;
AM;13;01209;Coari;73.820;
AM;13;01308;Codajás;24.451;(9)
AM;13;01407;Eirunepé;35.534;(10)
AM;13;01506;Envira;17.920;
AM;13;01605;Fonte Boa;27.875;(11)
AM;13;01654;Guajará;14.332;(12)
AM;13;01704;Humaitá;62.312;(13)(14)
AM;13;01803;Ipixuna;25.458;
AM;13;01852;Iranduba;67.114;
AM;13;01902;Itacoatiara;112.520;(15)
AM;13;01951;Itamarati;11.730;(16)
AM;13;02009;Itapiranga;10.805;(17)
AM;13;02108;Japurá;9.397;
AM;13;02207;Juruá;11.152;(18)
AM;13;02306;Jutaí;27.656;(19)
AM;13;02405;Lábrea;48.927;(20)
AM;13;02504;Manacapuru;110.691;(21)
AM;13;02553;Manaquiri;17.009;(22)
AM;13;02603;Manaus;2.279.686;
AM;13;02702;Manicoré;57.758;
AM;13;02801;Maraã;15.843;
AM;13;02900;Maués;65.714;
AM;13;03007;Nhamundá;21.106;(23)
AM;13;03106;Nova Olinda do Norte;28.267;
AM;13;03205;Novo Airão;16.467;(24)
AM;13;03304;Novo Aripuanã;24.987;
AM;13;03403;Parintins;101.956;(25)
AM;13;03502;Pauini;20.232;(26)
AM;13;03536;Presidente Figueiredo;33.004;
AM;13;03569;Rio Preto da Eva;25.723;(27)
AM;13;03601;Santa Isabel do Rio Negro;14.176;(28)
AM;13;03700;Santo Antônio do Içá;30.448;(29)(30)
AM;13;03809;São Gabriel da Cachoeira;56.406;
AM;13;03908;São Paulo de Olivença;35.196;
AM;13;03957;São Sebastião do Uatumã;12.247;(31)
AM;13;04005;Silves;12.404;
AM;13;04062;Tabatinga;72.283;
AM;13;04104;Tapauá;20.501;
AM;13;04203;Tefé;79.278;
AM;13;04237;Tonantins;20.224;
AM;13;04260;Uarini;15.278;(32)
AM;13;04302;Urucará;19.505;(33)
AM;13;04401;Urucurituba;25.592;(34)
RR;14;00027;Amajari;15.583;
RR;14;00050;Alto Alegre;23.049;
RR;14;00100;Boa Vista;470.169;
RR;14;00159;Bonfim;15.222;
RR;14;00175;Cantá;20.552;
RR;14;00209;Caracaraí;22.443;
RR;14;00233;Caroebe;11.708;
RR;14;00282;Iracema;10.778;
RR;14;00308;Mucajaí;19.619;
RR;14;00407;Normandia;15.744;
RR;14;00456;Pacaraima;22.104;
RR;14;00472;Rorainópolis;36.747;
RR;14;00506;São João da Baliza;9.727;
RR;14;00605;São Luiz;7.777;
RR;14;00704;Uiramutã;15.571;
PA;15;00107;Abaetetuba;170.999;
PA;15;00131;Abel Figueiredo;6.302;
PA;15;00206;Acará;62.701;
PA;15;00305;Afuá;40.246;
PA;15;00347;Água Azul do Norte;17.960;
PA;15;00404;Alenquer;74.836;
PA;15;00503;Almeirim;36.334;
PA;15;00602;Altamira;136.982;
PA;15;00701;Anajás;30.003;
PA;15;00800;Ananindeua;507.838;
PA;15;00859;Anapu;34.947;
PA;15;00909;Augusto Corrêa;47.596;
PA;15;00958;Aurora do Pará;24.321;
PA;15;01006;Aveiro;19.223;
PA;15;01105;Bagre;34.633;
PA;15;01204;Baião;55.949;
PA;15;01253;Bannach;4.252;
PA;15;01303;Barcarena;137.331;
PA;15;01402;Belém;1.398.531;
PA;15;01451;Belterra;18.954;
PA;15;01501;Benevides;68.191;
PA;15;01576;Bom Jesus do Tocantins;18.958;
PA;15;01600;Bonito;12.998;
PA;15;01709;Bragança;131.679;
PA;15;01725;Brasil Novo;26.606;
PA;15;01758;Brejo Grande do Araguaia;6.985;
PA;15;01782;Breu Branco;47.351;
PA;15;01808;Breves;115.051;
PA;15;01907;Bujaru;25.112;
PA;15;01956;Cachoeira do Piriá;19.578;
PA;15;02004;Cachoeira do Arari;25.243;
PA;15;02103;Cametá;143.837;
PA;15;02152;Canaã dos Carajás;86.629;
PA;15;02202;Capanema;74.808;
PA;15;02301;Capitão Poço;59.960;
PA;15;02400;Castanhal;207.603;
PA;15;02509;Chaves;21.487;
PA;15;02608;Colares;13.526;
PA;15;02707;Conceição do Araguaia;47.099;
PA;15;02756;Concórdia do Pará;28.287;
PA;15;02764;Cumaru do Norte;14.937;
PA;15;02772;Curionópolis;20.859;
PA;15;02806;Curralinho;36.451;
PA;15;02855;Curuá;14.834;
PA;15;02905;Curuçá;44.413;
PA;15;02939;Dom Eliseu;62.322;
PA;15;02954;Eldorado do Carajás;29.425;
PA;15;03002;Faro;9.125;
PA;15;03044;Floresta do Araguaia;18.565;
PA;15;03077;Garrafão do Norte;25.552;
PA;15;03093;Goianésia do Pará;27.059;
PA;15;03101;Gurupá;33.922;
PA;15;03200;Igarapé-Açu;37.855;
PA;15;03309;Igarapé-Miri;68.955;
PA;15;03408;Inhangapi;10.754;
PA;15;03457;Ipixuna do Pará;30.158;
PA;15;03507;Irituia;32.698;
PA;15;03606;Itaituba;133.684;
PA;15;03705;Itupiranga;52.187;
PA;15;03754;Jacareacanga;26.006;
PA;15;03804;Jacundá;38.391;
PA;15;03903;Juruti;53.952;
PA;15;04000;Limoeiro do Ajuru;31.778;
PA;15;04059;Mãe do Rio;37.048;
PA;15;04109;Magalhães Barata;8.428;
PA;15;04208;Marabá;288.513;
PA;15;04307;Maracanã;27.207;
PA;15;04406;Marapanim;28.105;
PA;15;04422;Marituba;118.998;
PA;15;04455;Medicilândia;28.633;
PA;15;04505;Melgaço;29.846;
PA;15;04604;Mocajuba;28.821;
PA;15;04703;Moju;90.795;
PA;15;04752;Mojuí dos Campos;25.312;
PA;15;04802;Monte Alegre;63.641;
PA;15;04901;Muaná;48.955;
PA;15;04950;Nova Esperança do Piriá;21.259;
PA;15;04976;Nova Ipixuna;14.417;
PA;15;05007;Nova Timboteua;13.204;
PA;15;05031;Novo Progresso;36.518;
PA;15;05064;Novo Repartimento;63.754;
PA;15;05106;Óbidos;55.271;
PA;15;05205;Oeiras do Pará;36.377;
PA;15;05304;Oriximiná;72.460;
PA;15;05403;Ourém;18.675;
PA;15;05437;Ourilândia do Norte;34.905;
PA;15;05486;Pacajá;43.594;
PA;15;05494;Palestina do Pará;7.086;
PA;15;05502;Paragominas;112.843;
PA;15;05536;Parauapebas;298.854;
PA;15;05551;Pau D'Arco;7.296;
PA;15;05601;Peixe-Boi;8.651;
PA;15;05635;Piçarra;13.341;
PA;15;05650;Placas;18.772;
PA;15;05700;Ponta de Pedras;25.767;
PA;15;05809;Portel;66.898;
PA;15;05908;Porto de Moz;43.673;
PA;15;06005;Prainha;38.318;
PA;15;06104;Primavera;11.332;
PA;15;06112;Quatipuru;11.870;
PA;15;06138;Redenção;91.947;
PA;15;06161;Rio Maria;19.129;
PA;15;06187;Rondon do Pará;56.593;
PA;15;06195;Rurópolis;37.360;
PA;15;06203;Salinópolis;48.168;
PA;15;06302;Salvaterra;25.441;
PA;15;06351;Santa Bárbara do Pará;22.288;
PA;15;06401;Santa Cruz do Arari;7.654;
PA;15;06500;Santa Izabel do Pará;78.317;
PA;15;06559;Santa Luzia do Pará;21.217;
PA;15;06583;Santa Maria das Barreiras;17.079;
PA;15;06609;Santa Maria do Pará;25.696;
PA;15;06708;Santana do Araguaia;31.683;
PA;15;06807;Santarém;357.311;
PA;15;06906;Santarém Novo;6.348;
PA;15;07003;Santo Antônio do Tauá;29.134;
PA;15;07102;São Caetano de Odivelas;17.248;
PA;15;07151;São Domingos do Araguaia;21.638;
PA;15;07201;São Domingos do Capim;32.449;
PA;15;07300;São Félix do Xingu;65.957;
PA;15;07409;São Francisco do Pará;15.418;
PA;15;07458;São Geraldo do Araguaia;24.978;
PA;15;07466;São João da Ponta;4.509;
PA;15;07474;São João de Pirabas;21.447;
PA;15;07508;São João do Araguaia;14.246;
PA;15;07607;São Miguel do Guamá;55.798;
PA;15;07706;São Sebastião da Boa Vista;27.441;
PA;15;07755;Sapucaia;6.160;
PA;15;07805;Senador José Porfírio;24.441;
PA;15;07904;Soure;25.218;
PA;15;07953;Tailândia;75.526;
PA;15;07961;Terra Alta;10.815;
PA;15;07979;Terra Santa;19.667;
PA;15;08001;Tomé-Açu;72.326;
PA;15;08035;Tracuateua;30.373;
PA;15;08050;Trairão;15.619;
PA;15;08084;Tucumã;42.480;
PA;15;08100;Tucuruí;96.238;
PA;15;08126;Ulianópolis;39.576;
PA;15;08159;Uruará;45.939;
PA;15;08209;Vigia;53.806;
PA;15;08308;Viseu;61.970;
PA;15;08357;Vitória do Xingu;16.414;
PA;15;08407;Xinguara;56.999;
AP;16;00055;Serra do Navio;4.986;
AP;16;00105;Amapá;8.434;
AP;16;00154;Pedra Branca do Amapari;13.798;
AP;16;00204;Calçoene;11.391;
AP;16;00212;Cutias;4.725;
AP;16;00238;Ferreira Gomes;7.145;
AP;16;00253;Itaubal;6.043;
AP;16;00279;Laranjal do Jari;37.969;
AP;16;00303;Macapá;487.200;
AP;16;00402;Mazagão;23.575;
AP;16;00501;Oiapoque;30.481;
AP;16;00535;Porto Grande;18.988;
AP;16;00550;Pracuúba;4.042;
AP;16;00600;Santana;118.353;
AP;16;00709;Tartarugalzinho;13.785;
AP;16;00808;Vitória do Jari;11.922;
TO;17;00251;Abreulândia;2.668;
TO;17;00301;Aguiarnópolis;4.537;
TO;17;00350;Aliança do Tocantins;5.222;
TO;17;00400;Almas;6.542;
TO;17;00707;Alvorada;9.094;
TO;17;01002;Ananás;10.662;
TO;17;01051;Angico;2.918;
TO;17;01101;Aparecida do Rio Negro;5.067;
TO;17;01309;Aragominas;5.360;
TO;17;01903;Araguacema;6.039;
TO;17;02000;Araguaçu;8.273;
TO;17;02109;Araguaína;181.493;
TO;17;02158;Araguanã;4.338;
TO;17;02208;Araguatins;33.205;
TO;17;02307;Arapoema;5.553;
TO;17;02406;Arraias;10.522;
TO;17;02554;Augustinópolis;18.128;
TO;17;02703;Aurora do Tocantins;3.420;
TO;17;02901;Axixá do Tocantins;10.663;
TO;17;03008;Babaçulândia;7.779;
TO;17;03057;Bandeirantes do Tocantins;3.534;
TO;17;03073;Barra do Ouro;4.641;
TO;17;03107;Barrolândia;4.915;
TO;17;03206;Bernardo Sayão;4.316;
TO;17;03305;Bom Jesus do Tocantins;4.181;
TO;17;03602;Brasilândia do Tocantins;2.016;
TO;17;03701;Brejinho de Nazaré;4.796;
TO;17;03800;Buriti do Tocantins;10.654;
TO;17;03826;Cachoeirinha;1.991;
TO;17;03842;Campos Lindos;8.951;
TO;17;03867;Cariri do Tocantins;4.147;
TO;17;03883;Carmolândia;2.246;
TO;17;03891;Carrasco Bonito;3.362;
TO;17;03909;Caseara;5.009;
TO;17;04105;Centenário;2.135;
TO;17;04600;Chapada de Areia;1.563;
TO;17;05102;Chapada da Natividade;3.182;
TO;17;05508;Colinas do Tocantins;35.957;
TO;17;05557;Combinado;4.896;
TO;17;05607;Conceição do Tocantins;3.956;
TO;17;06001;Couto Magalhães;5.515;
TO;17;06100;Cristalândia;6.437;
TO;17;06258;Crixás do Tocantins;1.499;
TO;17;06506;Darcinópolis;6.054;
TO;17;07009;Dianópolis;18.031;
TO;17;07108;Divinópolis do Tocantins;7.297;
TO;17;07207;Dois Irmãos do Tocantins;6.395;
TO;17;07306;Dueré;4.321;
TO;17;07405;Esperantina;7.493;
TO;17;07553;Fátima;3.520;
TO;17;07652;Figueirópolis;5.336;
TO;17;07702;Filadélfia;7.823;
TO;17;08205;Formoso do Araguaia;19.428;
TO;17;08254;Tabocão;3.676;
TO;17;08304;Goianorte;4.840;
TO;17;09005;Goiatins;12.816;
TO;17;09302;Guaraí;25.681;
TO;17;09500;Gurupi;89.574;
TO;17;09807;Ipueiras;1.627;
TO;17;10508;Itacajá;6.969;
TO;17;10706;Itaguatins;5.206;
TO;17;10904;Itapiratins;3.679;
TO;17;11100;Itaporã do Tocantins;2.464;
TO;17;11506;Jaú do Tocantins;3.403;
TO;17;11803;Juarina;2.305;
TO;17;11902;Lagoa da Confusão;16.312;
TO;17;11951;Lagoa do Tocantins;3.610;
TO;17;12009;Lajeado;3.520;
TO;17;12157;Lavandeira;1.673;
TO;17;12405;Lizarda;2.991;
TO;17;12454;Luzinópolis;2.803;
TO;17;12504;Marianópolis do Tocantins;4.772;
TO;17;12702;Mateiros;2.888;
TO;17;12801;Maurilândia do Tocantins;3.171;
TO;17;13205;Miracema do Tocantins;18.787;
TO;17;13304;Miranorte;13.056;
TO;17;13601;Monte do Carmo;5.722;
TO;17;13700;Monte Santo do Tocantins;2.500;
TO;17;13809;Palmeiras do Tocantins;4.897;
TO;17;13957;Muricilândia;3.485;
TO;17;14203;Natividade;8.961;
TO;17;14302;Nazaré;4.660;
TO;17;14880;Nova Olinda;10.609;
TO;17;15002;Nova Rosalândia;3.403;
TO;17;15101;Novo Acordo;4.102;
TO;17;15150;Novo Alegre;1.841;
TO;17;15259;Novo Jardim;2.263;
TO;17;15507;Oliveira de Fátima;1.211;
TO;17;15705;Palmeirante;4.909;
TO;17;15754;Palmeirópolis;7.119;
TO;17;16109;Paraíso do Tocantins;55.164;
TO;17;16208;Paranã;10.854;
TO;17;16307;Pau D'Arco;4.085;
TO;17;16505;Pedro Afonso;14.731;
TO;17;16604;Peixe;9.438;
TO;17;16653;Pequizeiro;5.038;
TO;17;16703;Colméia;9.158;
TO;17;17008;Pindorama do Tocantins;4.596;
TO;17;17206;Piraquê;2.265;
TO;17;17503;Pium;7.375;
TO;17;17800;Ponte Alta do Bom Jesus;4.295;
TO;17;17909;Ponte Alta do Tocantins;7.842;
TO;17;18006;Porto Alegre do Tocantins;2.953;
TO;17;18204;Porto Nacional;68.555;
TO;17;18303;Praia Norte;9.460;
TO;17;18402;Presidente Kennedy;3.051;
TO;17;18451;Pugmil;2.231;
TO;17;18501;Recursolândia;3.471;
TO;17;18550;Riachinho;4.039;
TO;17;18659;Rio da Conceição;1.822;
TO;17;18709;Rio dos Bois;2.833;
TO;17;18758;Rio Sono;4.798;
TO;17;18808;Sampaio;4.372;
TO;17;18840;Sandolândia;3.873;
TO;17;18865;Santa Fé do Araguaia;7.489;
TO;17;18881;Santa Maria do Tocantins;2.726;
TO;17;18899;Santa Rita do Tocantins;2.291;
TO;17;18907;Santa Rosa do Tocantins;4.789;
TO;17;19004;Santa Tereza do Tocantins;2.889;
TO;17;20002;Santa Terezinha do Tocantins;2.463;
TO;17;20101;São Bento do Tocantins;5.936;
TO;17;20150;São Félix do Tocantins;1.875;
TO;17;20200;São Miguel do Tocantins;13.939;
TO;17;20259;São Salvador do Tocantins;2.385;
TO;17;20309;São Sebastião do Tocantins;4.189;
TO;17;20499;São Valério;4.547;
TO;17;20655;Silvanópolis;5.252;
TO;17;20804;Sítio Novo do Tocantins;11.334;
TO;17;20853;Sucupira;1.599;
TO;17;20903;Taguatinga;14.247;
TO;17;20937;Taipas do Tocantins;2.086;
TO;17;20978;Talismã;2.509;
TO;17;21000;Palmas;323.625;
TO;17;21109;Tocantínia;7.751;
TO;17;21208;Tocantinópolis;23.203;
TO;17;21257;Tupirama;2.003;
TO;17;21307;Tupiratins;1.897;
TO;17;22081;Wanderlândia;10.751;
TO;17;22107;Xambioá;10.683;
MA;21;00055;Açailândia;110.506;
MA;21;00105;Afonso Cunha;6.296;
MA;21;00154;Água Doce do Maranhão;12.446;
MA;21;00204;Alcântara;18.774;
MA;21;00303;Aldeias Altas;23.782;
MA;21;00402;Altamira do Maranhão;6.565;
MA;21;00436;Alto Alegre do Maranhão;24.543;
MA;21;00477;Alto Alegre do Pindaré;26.411;
MA;21;00501;Alto Parnaíba;11.382;
MA;21;00550;Amapá do Maranhão;7.364;
MA;21;00600;Amarante do Maranhão;38.333;
MA;21;00709;Anajatuba;26.221;
MA;21;00808;Anapurus;14.111;
MA;21;00832;Apicum-Açu;17.984;
MA;21;00873;Araguanã;11.347;
MA;21;00907;Araioses;40.278;
MA;21;00956;Arame;26.191;
MA;21;01004;Arari;30.521;
MA;21;01103;Axixá;12.079;
MA;21;01202;Bacabal;107.620;
MA;21;01251;Bacabeira;17.414;
MA;21;01301;Bacuri;16.610;
MA;21;01350;Bacurituba;5.374;
MA;21;01400;Balsas;106.094;
MA;21;01509;Barão de Grajaú;19.458;
MA;21;01608;Barra do Corda;87.672;
MA;21;01707;Barreirinhas;67.999;
MA;21;01731;Belágua;8.716;
MA;21;01772;Bela Vista do Maranhão;12.073;
MA;21;01806;Benedito Leite;5.597;
MA;21;01905;Bequimão;19.983;
MA;21;01939;Bernardo do Mearim;5.983;
MA;21;01970;Boa Vista do Gurupi;7.769;
MA;21;02002;Bom Jardim;34.035;
MA;21;02036;Bom Jesus das Selvas;29.588;
MA;21;02077;Bom Lugar;12.414;
MA;21;02101;Brejo;35.322;
MA;21;02150;Brejo de Areia;9.387;
MA;21;02200;Buriti;30.799;
MA;21;02309;Buriti Bravo;22.940;
MA;21;02325;Buriticupu;56.896;
MA;21;02358;Buritirana;13.157;
MA;21;02374;Cachoeira Grande;10.004;
MA;21;02408;Cajapió;10.342;
MA;21;02507;Cajari;16.711;
MA;21;02556;Campestre do Maranhão;12.553;
MA;21;02606;Cândido Mendes;20.413;
MA;21;02705;Cantanhede;24.976;
MA;21;02754;Capinzal do Norte;11.664;
MA;21;02804;Carolina;24.606;
MA;21;02903;Carutapera;24.855;
MA;21;03000;Caxias;163.428;
MA;21;03109;Cedral;10.444;
MA;21;03125;Central do Maranhão;7.233;
MA;21;03158;Centro do Guilherme;12.668;
MA;21;03174;Centro Novo do Maranhão;16.529;
MA;21;03208;Chapadinha;84.202;
MA;21;03257;Cidelândia;13.152;
MA;21;03307;Codó;118.295;
MA;21;03406;Coelho Neto;42.918;
MA;21;03505;Colinas;41.745;
MA;21;03554;Conceição do Lago-Açu;15.264;
MA;21;03604;Coroatá;61.351;
MA;21;03703;Cururupu;32.608;
MA;21;03752;Davinópolis;14.788;
MA;21;03802;Dom Pedro;23.579;
MA;21;03901;Duque Bacelar;10.448;
MA;21;04008;Esperantinópolis;18.725;
MA;21;04057;Estreito;34.353;
MA;21;04073;Feira Nova do Maranhão;8.236;
MA;21;04081;Fernando Falcão;11.184;
MA;21;04099;Formosa da Serra Negra;18.133;
MA;21;04107;Fortaleza dos Nogueiras;12.951;
MA;21;04206;Fortuna;17.346;
MA;21;04305;Godofredo Viana;10.422;
MA;21;04404;Gonçalves Dias;17.579;
MA;21;04503;Governador Archer;10.472;
MA;21;04552;Governador Edison Lobão;18.908;
MA;21;04602;Governador Eugênio Barros;14.258;
MA;21;04628;Governador Luiz Rocha;7.219;
MA;21;04651;Governador Newton Bello;10.981;
MA;21;04677;Governador Nunes Freire;23.563;
MA;21;04701;Graça Aranha;6.161;
MA;21;04800;Grajaú;76.578;
MA;21;04909;Guimarães;10.470;
MA;21;05005;Humberto de Campos;26.546;
MA;21;05104;Icatu;25.332;
MA;21;05153;Igarapé do Meio;14.350;
MA;21;05203;Igarapé Grande;10.463;
MA;21;05302;Imperatriz;285.146;
MA;21;05351;Itaipava do Grajaú;14.143;
MA;21;05401;Itapecuru Mirim;62.269;
MA;21;05427;Itinga do Maranhão;22.934;
MA;21;05450;Jatobá;7.610;
MA;21;05476;Jenipapo dos Vieiras;17.499;
MA;21;05500;João Lisboa;25.287;
MA;21;05609;Joselândia;15.235;
MA;21;05658;Junco do Maranhão;5.275;
MA;21;05708;Lago da Pedra;45.875;
MA;21;05807;Lago do Junco;9.700;
MA;21;05906;Lago Verde;15.077;
MA;21;05922;Lagoa do Mato;10.809;
MA;21;05948;Lago dos Rodrigues;8.961;
MA;21;05963;Lagoa Grande do Maranhão;11.710;
MA;21;05989;Lajeado Novo;7.227;
MA;21;06003;Lima Campos;11.558;
MA;21;06102;Loreto;11.876;
MA;21;06201;Luís Domingues;7.351;
MA;21;06300;Magalhães de Almeida;14.001;
MA;21;06326;Maracaçumé;21.686;
MA;21;06359;Marajá do Sena;7.165;
MA;21;06375;Maranhãozinho;14.086;
MA;21;06409;Mata Roma;17.537;
MA;21;06508;Matinha;22.530;
MA;21;06607;Matões;33.300;
MA;21;06631;Matões do Norte;17.945;
MA;21;06672;Milagres do Maranhão;9.048;
MA;21;06706;Mirador;21.518;
MA;21;06755;Miranda do Norte;24.377;
MA;21;06805;Mirinzal;14.297;
MA;21;06904;Monção;28.606;
MA;21;07001;Montes Altos;9.309;
MA;21;07100;Morros;18.994;
MA;21;07209;Nina Rodrigues;14.551;
MA;21;07258;Nova Colinas;5.144;
MA;21;07308;Nova Iorque;4.412;
MA;21;07357;Nova Olinda do Maranhão;14.468;
MA;21;07407;Olho d'Água das Cunhãs;18.295;
MA;21;07456;Olinda Nova do Maranhão;13.909;
MA;21;07506;Paço do Lumiar;152.306;
MA;21;07605;Palmeirândia;21.606;
MA;21;07704;Paraibano;18.619;
MA;21;07803;Parnarama;32.256;
MA;21;07902;Passagem Franca;17.592;
MA;21;08009;Pastos Bons;19.246;
MA;21;08058;Paulino Neves;17.523;
MA;21;08108;Paulo Ramos;20.792;
MA;21;08207;Pedreiras;38.267;
MA;21;08256;Pedro do Rosário;24.917;
MA;21;08306;Penalva;33.534;
MA;21;08405;Peri Mirim;11.277;
MA;21;08454;Peritoró;20.910;
MA;21;08504;Pindaré-Mirim;32.521;
MA;21;08603;Pinheiro;87.919;
MA;21;08702;Pio XII;22.369;
MA;21;08801;Pirapemas;18.120;
MA;21;08900;Poção de Pedras;17.444;
MA;21;09007;Porto Franco;24.517;
MA;21;09056;Porto Rico do Maranhão;6.091;
MA;21;09106;Presidente Dutra;46.578;
MA;21;09205;Presidente Juscelino;11.616;
MA;21;09239;Presidente Médici;4.748;
MA;21;09270;Presidente Sarney;17.913;
MA;21;09304;Presidente Vargas;10.791;
MA;21;09403;Primeira Cruz;13.922;
MA;21;09452;Raposa;32.054;
MA;21;09502;Riachão;22.699;
MA;21;09551;Ribamar Fiquene;7.597;
MA;21;09601;Rosário;39.763;
MA;21;09700;Sambaíba;5.701;
MA;21;09759;Santa Filomena do Maranhão;6.839;
MA;21;09809;Santa Helena;43.112;
MA;21;09908;Santa Inês;88.167;
MA;21;10005;Santa Luzia;59.037;
MA;21;10039;Santa Luzia do Paruá;24.870;
MA;21;10104;Santa Quitéria do Maranhão;24.489;
MA;21;10203;Santa Rita;38.446;
MA;21;10237;Santana do Maranhão;10.777;
MA;21;10278;Santo Amaro do Maranhão;14.280;
MA;21;10302;Santo Antônio dos Lopes;14.623;
MA;21;10401;São Benedito do Rio Preto;18.793;
MA;21;10500;São Bento;48.036;
MA;21;10609;São Bernardo;27.887;
MA;21;10658;São Domingos do Azeitão;8.213;
MA;21;10708;São Domingos do Maranhão;35.221;
MA;21;10807;São Félix de Balsas;4.495;
MA;21;10856;São Francisco do Brejão;9.222;
MA;21;10906;São Francisco do Maranhão;12.353;
MA;21;11003;São João Batista;18.909;
MA;21;11029;São João do Carú;12.421;
MA;21;11052;São João do Paraíso;10.105;
MA;21;11078;São João do Soter;17.254;
MA;21;11102;São João dos Patos;25.891;
MA;21;11201;São José de Ribamar;257.414;
MA;21;11250;São José dos Basílios;7.102;
MA;21;11300;São Luís;1.088.057;
MA;21;11409;São Luís Gonzaga do Maranhão;18.153;
MA;21;11508;São Mateus do Maranhão;40.160;
MA;21;11532;São Pedro da Água Branca;14.736;
MA;21;11573;São Pedro dos Crentes;5.965;
MA;21;11607;São Raimundo das Mangabeiras;19.129;
